	Time 			Values

	0 		[0.0, 0.0625, 0.25, 0.5625, 1.0]
	1 		[0, 0.03125, 0.15625, 0.40625, 0.78125]
	2 		[0, 0.015625, 0.09375, 0.28125, 0.59375]
	3 		[0, 0.0078125, 0.0546875, 0.1875, 0.4375]
	4 		[0, 0.00390625, 0.03125, 0.12109375, 0.3125]
	5 		[0, 0.001953125, 0.017578125, 0.076171875, 0.216796875]
	6 		[0, 0.0009765625, 0.009765625, 0.046875, 0.146484375]
	7 		[0, 0.00048828125, 0.00537109375, 0.0283203125, 0.0966796875]
	8 		[0, 0.000244140625, 0.0029296875, 0.016845703125, 0.0625]
	9 		[0, 0.0001220703125, 0.0015869140625, 0.0098876953125, 0.0396728515625]
	10 		[0, 6.103515625e-05, 0.0008544921875, 0.0057373046875, 0.0247802734375]
	11 		[0, 3.0517578125e-05, 0.000457763671875, 0.0032958984375, 0.0152587890625]
	12 		[0, 1.52587890625e-05, 0.000244140625, 0.0018768310546875, 0.00927734375]
	13 		[0, 7.62939453125e-06, 0.00012969970703125, 0.00106048583984375, 0.00557708740234375]
	14 		[0, 3.814697265625e-06, 6.866455078125e-05, 0.0005950927734375, 0.00331878662109375]
	15 		[0, 1.9073486328125e-06, 3.62396240234375e-05, 0.000331878662109375, 0.001956939697265625]
	16 		[0, 9.5367431640625e-07, 1.9073486328125e-05, 0.00018405914306640625, 0.0011444091796875]
	17 		[0, 4.76837158203125e-07, 1.0013580322265625e-05, 0.00010156631469726562, 0.0006642341613769531]
	18 		[0, 2.384185791015625e-07, 5.245208740234375e-06, 5.5789947509765625e-05, 0.0003829002380371094]
	19 		[0, 1.1920928955078125e-07, 2.7418136596679688e-06, 3.0517578125e-05, 0.0002193450927734375]
	20 		[0, 5.960464477539063e-08, 1.430511474609375e-06, 1.6629695892333984e-05, 0.00012493133544921875]
	21 		[0, 2.9802322387695312e-08, 7.450580596923828e-07, 9.03010368347168e-06, 7.078051567077637e-05]
	22 		[0, 1.4901161193847656e-08, 3.8743019104003906e-07, 4.887580871582031e-06, 3.9905309677124023e-05]
	23 		[0, 7.450580596923828e-09, 2.0116567611694336e-07, 2.637505531311035e-06, 2.2396445274353027e-05]
	24 		[0, 3.725290298461914e-09, 1.043081283569336e-07, 1.4193356037139893e-06, 1.2516975402832031e-05]
	25 		[0, 1.862645149230957e-09, 5.4016709327697754e-08, 7.618218660354614e-07, 6.96815550327301e-06]
	26 		[0, 9.313225746154785e-10, 2.7939677238464355e-08, 4.079192876815796e-07, 3.864988684654236e-06]
	27 		[0, 4.656612873077393e-10, 1.4435499906539917e-08, 2.1792948246002197e-07, 2.1364539861679077e-06]
	28 		[0, 2.3283064365386963e-10, 7.450580596923828e-09, 1.1618249118328094e-07, 1.1771917343139648e-06]
	29 		[0, 1.1641532182693481e-10, 3.841705620288849e-09, 6.181653589010239e-08, 6.466871127486229e-07]
	30 		[0, 5.820766091346741e-11, 1.979060471057892e-09, 3.282912075519562e-08, 3.5425182431936264e-07]
	31 		[0, 2.9103830456733704e-11, 1.0186340659856796e-09, 1.7404090613126755e-08, 1.9354047253727913e-07]
	32 		[0, 1.4551915228366852e-11, 5.238689482212067e-10, 9.211362339556217e-09, 1.0547228157520294e-07]
	33 		[0, 7.275957614183426e-12, 2.6921043172478676e-10, 4.867615643888712e-09, 5.734182195737958e-08]
	34 		[0, 3.637978807091713e-12, 1.382431946694851e-10, 2.5684130378067493e-09, 3.1104718800634146e-08]
	35 		[0, 1.8189894035458565e-12, 7.09405867382884e-11, 1.3533281162381172e-09, 1.6836565919220448e-08]
	36 		[0, 9.094947017729282e-13, 3.637978807091713e-11, 7.121343514882028e-10, 9.094947017729282e-09]
	37 		[0, 4.547473508864641e-13, 1.864464138634503e-11, 3.7425706977955997e-10, 4.903540684608743e-09]
	38 		[0, 2.2737367544323206e-13, 9.549694368615746e-12, 1.964508555829525e-10, 2.6388988771941513e-09]
	39 		[0, 1.1368683772161603e-13, 4.888534022029489e-12, 1.0300027497578412e-10, 1.4176748663885519e-09]
	40 		[0, 5.684341886080802e-14, 2.5011104298755527e-12, 5.3944404498906806e-11, 7.60337570682168e-10]
	41 		[0, 2.842170943040401e-14, 1.2789769243681803e-12, 2.822275746439118e-11, 4.071409875905374e-10]
	42 		[0, 1.4210854715202004e-14, 6.536993168992922e-13, 1.475086719437968e-11, 2.176818725274643e-10]
	43 		[0, 7.105427357601002e-15, 3.339550858072471e-13, 7.702283255639486e-12, 1.1621636986092199e-10]
	44 		[0, 3.552713678800501e-15, 1.7053025658242404e-13, 4.0181191707233666e-12, 6.195932655828074e-11]
	45 		[0, 1.7763568394002505e-15, 8.704148513061227e-14, 2.0943247136528953e-12, 3.298872286450205e-11]
	46 		[0, 8.881784197001252e-16, 4.440892098500626e-14, 1.0906830993917538e-12, 1.7541523789077473e-11]
	47 		[0, 4.440892098500626e-16, 2.2648549702353193e-14, 5.6754601018838e-13, 9.316103444234614e-12]
	48 		[0, 2.220446049250313e-16, 1.1546319456101628e-14, 2.950972799453666e-13, 4.941824727211497e-12]
	49 		[0, 1.1102230246251565e-16, 5.88418203051333e-15, 1.5332179970073412e-13, 2.6184610035784317e-12]
	50 		[0, 5.551115123125783e-17, 2.9976021664879227e-15, 7.960299086562372e-14, 1.385891401639583e-12]
	51 		[0, 2.7755575615628914e-17, 1.5265566588595902e-15, 4.1300296516055823e-14, 7.327471962526033e-13]
	52 		[0, 1.3877787807814457e-17, 7.771561172376096e-16, 2.1413426587457707e-14, 3.8702374638432957e-13]
	53 		[0, 6.938893903907228e-18, 3.95516952522712e-16, 1.1095291352347658e-14, 2.0421858648589364e-13]
	54 		[0, 3.469446951953614e-18, 2.0122792321330962e-16, 5.745404152435185e-15, 1.0765693891912065e-13]
	55 		[0, 1.734723475976807e-18, 1.0234868508263162e-16, 2.9733160378242474e-15, 5.6701171535777917e-14]
	56 		[0, 8.673617379884035e-19, 5.204170427930421e-17, 1.5378323614534395e-15, 2.983724378680108e-14]
	57 		[0, 4.336808689942018e-19, 2.6454533008646308e-17, 7.949370328663719e-16, 1.568753807412726e-14]
	58 		[0, 2.168404344971009e-19, 1.3444106938820255e-17, 4.106957829375091e-16, 8.241237553496816e-15]
	59 		[0, 1.0842021724855044e-19, 6.830473686658678e-18, 2.1206994493816467e-16, 4.325966668217163e-15]
	60 		[0, 5.421010862427522e-20, 3.469446951953614e-18, 1.0945020931241167e-16, 2.2690183065776637e-15]
	61 		[0, 2.710505431213761e-20, 1.7618285302889447e-18, 5.645982813218264e-17, 1.1892342579450377e-15]
	62 		[0, 1.3552527156068805e-20, 8.944667923005412e-19, 2.9110828331235794e-17, 6.228470430386102e-16]
	63 		[0, 6.776263578034403e-21, 4.54009659728305e-19, 1.5002647561768168e-17, 3.25978935684923e-16]
	64 		[0, 3.3881317890172014e-21, 2.303929616531697e-19, 7.728328610748236e-18, 1.7049079162334557e-16]
	65 		[0, 1.6940658945086007e-21, 1.1689054672109345e-19, 3.979360786200703e-18, 8.91095601170469e-17]
	66 		[0, 8.470329472543003e-22, 5.929230630780102e-20, 2.0481256664608982e-18, 4.6544460451623804e-17]
	67 		[0, 4.235164736271502e-22, 3.006966962752766e-20, 1.0537089863843496e-18, 2.429629305904235e-17]
	68 		[0, 2.117582368135751e-22, 1.5246593050577406e-20, 5.418893280059386e-19, 1.267500102271335e-17]
	69 		[0, 1.0587911840678754e-22, 7.72917564369549e-21, 2.78567960528258e-19, 6.6084451753596445e-18]
	70 		[0, 5.293955920339377e-23, 3.917527381051139e-21, 1.4314856808597676e-19, 3.4435065679439512e-18]
	71 		[0, 2.6469779601696886e-23, 1.9852334701272664e-21, 7.353304773351395e-20, 1.793327568014964e-18]
	72 		[0, 1.3234889800848443e-23, 1.0058516248644817e-21, 3.775914060182061e-20, 9.33430307874239e-19]
	73 		[0, 6.617444900424222e-24, 5.0954325733266505e-22, 1.9382496113342544e-20, 4.855947242380298e-19]
	74 		[0, 3.308722450212111e-24, 2.5808035111654463e-22, 9.946019685337605e-21, 2.5248861017568617e-19]
	75 		[0, 1.6543612251060553e-24, 1.3069453678337837e-22, 5.102050018227075e-21, 1.3121731493051189e-19]
	76 		[0, 8.271806125530277e-25, 6.617444900424221e-23, 2.6163722775052265e-21, 6.815968247436948e-20]
	77 		[0, 4.1359030627651384e-25, 3.350081480839762e-23, 1.3412733632547344e-21, 3.5388027375937353e-20]
	78 		[0, 2.0679515313825692e-25, 1.6957202557337067e-23, 6.87387089031566e-22, 1.8364650369596044e-20]
	79 		[0, 1.0339757656912846e-25, 8.581998855237662e-24, 3.5217214579445153e-22, 9.526018729313805e-21]
	80 		[0, 5.169878828456423e-26, 4.342698215903395e-24, 1.803770723248446e-22, 4.939095437554128e-21]
	81 		[0, 2.5849394142282115e-26, 2.1971985020939798e-24, 9.2359885270374e-23, 2.5597362549394864e-21]
	82 		[0, 1.2924697071141057e-26, 1.111523948118131e-24, 4.727854188623399e-23, 1.3260480701049302e-21]
	83 		[0, 6.462348535570529e-27, 5.62224322594636e-25, 2.419503291717606e-23, 6.866633059955821e-22]
	84 		[0, 3.2311742677852644e-27, 2.8434333556510326e-25, 1.2378628619885348e-23, 3.554291694563791e-22]
	85 		[0, 1.6155871338926322e-27, 1.4378725491644426e-25, 6.3314859777252255e-24, 1.8390389903813221e-22]
	86 		[0, 8.077935669463161e-28, 7.270142102516845e-26, 3.237636616320835e-24, 9.511769250792872e-23]
	87 		[0, 4.0389678347315804e-28, 3.675460729605738e-26, 1.6551690186730017e-24, 4.917766456212478e-23]
	88 		[0, 2.0194839173657902e-28, 1.857925203976527e-26, 8.459618129845295e-25, 2.541641679039889e-23]
	89 		[0, 1.0097419586828951e-28, 9.390600215750925e-27, 4.322705325121474e-25, 1.313118930169171e-23]
	90 		[0, 5.048709793414476e-29, 4.745787205809607e-27, 2.2083056636394916e-25, 6.781729917101928e-24]
	91 		[0, 2.524354896707238e-29, 2.398137151871876e-27, 1.1278817678487938e-25, 3.501280241732939e-24]
	92 		[0, 1.262177448353619e-29, 1.2116903504194741e-27, 5.759315696837563e-26, 1.807034209258909e-24]
	93 		[0, 6.310887241768095e-30, 6.121560624515052e-28, 2.940242365939755e-26, 9.323136831136424e-25]
	94 		[0, 3.1554436208840472e-30, 3.0923347484663663e-28, 1.500728986092453e-26, 4.8085805338652e-25]
	95 		[0, 1.5777218104420236e-30, 1.5619445923376034e-28, 7.658261667885583e-27, 2.4793267162372224e-25]
	96 		[0, 7.888609052210118e-31, 7.888609052210118e-29, 3.9072280635596715e-27, 1.2779546664580391e-25]
